datemin,index
2015-05-27,300462.SZ
2015-06-10,300464.SZ
2015-07-01,300488.SZ
2016-02-04,300500.SZ
2016-02-04,300501.SZ
2018-03-30,300504.SZ
2016-04-19,300508.SZ
2016-04-25,300509.SZ
2016-05-26,300512.SZ
2017-04-26,300514.SZ
2016-07-19,300517.SZ
2016-06-24,300519.SZ
2016-08-09,300530.SZ
2016-09-13,300534.SZ
2016-08-12,300535.SZ
2016-09-20,300536.SZ
2016-08-26,300538.SZ
2016-09-30,300549.SZ
2016-10-18,300550.SZ
2017-04-21,300554.SZ
2016-12-20,300575.SZ
2017-01-06,300583.SZ
2019-06-21,300594.SZ
2017-01-23,300599.SZ
2017-02-08,300605.SZ
2017-02-08,300606.SZ
2017-02-13,300610.SZ
2017-02-15,300615.SZ
2017-03-16,300621.SZ
2017-03-17,300625.SZ
2017-03-20,300626.SZ
2017-03-31,300635.SZ
2017-04-12,300637.SZ
2017-04-17,300640.SZ
2017-04-21,300645.SZ
2017-05-05,300649.SZ
2017-05-09,300651.SZ
2017-09-26,300654.SZ
2017-06-02,300658.SZ
2017-06-13,300665.SZ
2017-06-19,300668.SZ
2017-07-03,300670.SZ
2017-07-19,300675.SZ
2018-10-15,300694.SZ
2017-11-01,300711.SZ
2017-11-01,300713.SZ
2017-11-09,300716.SZ
2017-11-06,300717.SZ
2017-11-15,300721.SZ
2017-12-12,300732.SZ
2018-01-09,300736.SZ
2018-04-27,300743.SZ
2018-05-25,300746.SZ
2018-09-25,300749.SZ
2018-12-13,300753.SZ
2019-05-10,300778.SZ
2019-05-31,300780.SZ
2019-07-05,300788.SZ
2015-01-05,600051.SH
2015-01-05,600081.SH
2015-01-05,600082.SH
2015-01-05,600097.SH
2015-01-05,600099.SH
2015-01-05,600119.SH
2015-01-05,600137.SH
2015-01-05,600148.SH
2015-01-05,600149.SH
2015-01-05,600159.SH
2015-01-05,600165.SH
2015-01-05,600180.SH
2015-01-05,600193.SH
2015-01-05,600200.SH
2015-01-05,600202.SH
2015-01-05,600228.SH
2015-01-05,600229.SH
2015-01-05,600231.SH
2015-01-05,600232.SH
2015-01-05,600235.SH
2015-01-05,600241.SH
2015-01-05,600243.SH
2015-01-05,600265.SH
2015-01-05,600272.SH
2015-01-05,600281.SH
2015-01-05,600287.SH
