top_n_stocks,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,total_trades,win_rate,sqn,calmar,max_stocks,top_n
3,142155.34783189814,42.15534783189814,6.362704482844657,0.4804410104928156,2270.812179578031,36,66.66666666666666,2.3901914426908935,0.0,,3
5,158495.08153639248,58.495081536392476,8.411620921657391,0.6305958393830369,1928.9143777819525,53,58.490566037735846,3.2193782108936215,0.0,,5
10,160938.01463547672,60.93801463547672,8.702808154349961,0.6974689994034438,1532.6845651087378,88,67.04545454545455,5.260073457900462,0.0,,10
20,152875.97537529853,52.87597537529852,7.727533006794532,0.6150517339792891,1756.2556771893114,98,63.26530612244898,5.147320136405803,0.0,,20
