date,value,drawdown
2020-03-04,100000.0,0.0
2020-03-05,100033.98241245752,0.0
2020-03-06,100191.67788870337,0.0
2020-03-09,96746.08492967769,3.439001154220791
2020-03-10,97350.4195373712,2.835822706241479
2020-03-11,96738.90441146218,3.446167935301635
2020-03-12,95346.05610179638,4.836351570326721
2020-03-13,95387.35969650716,4.795126994013439
2020-03-16,93804.43716665354,6.375021215978648
2020-03-17,96370.20050574063,3.814166469202937
2020-03-18,97377.09205122614,2.8092012198895224
2020-03-19,96419.31730248618,3.7651436383844925
2020-03-20,96383.30028519075,3.8010917510964415
2020-03-23,94323.47766997859,5.856973695203906
2020-03-24,95408.60645357598,4.773920884367867
2020-03-25,97080.63217761237,3.105093932598745
2020-03-26,97512.83717513451,2.673715791589614
2020-03-27,98047.8117413153,2.139764691603992
2020-03-30,97477.02443826909,2.7094600146828793
2020-03-31,96872.64132185251,3.3126868785826393
2020-04-01,96055.46184143203,4.128303003235464
2020-04-02,96337.04152183443,3.8472620162632842
2020-04-03,97430.79712832459,2.755598886611795
2020-04-07,98175.8476497884,2.011973730147762
2020-04-08,98342.97050540747,1.8451705992482852
2020-04-09,98768.31236854235,1.42064246268253
2020-04-10,98607.34826846942,1.5812986204242305
2020-04-13,99878.46603153134,0.3126126478488185
2020-04-14,101063.02652498294,0.0
2020-04-15,100970.97679577889,0.091081508608193
2020-04-16,101138.3785641137,0.0
2020-04-17,100896.54008697433,0.23911642699121863
2020-04-20,101215.9169198558,0.0
2020-04-21,100996.85263475575,0.21643264396201933
2020-04-22,101039.20224168972,0.17459178708621054
2020-04-23,101497.9185164567,0.0
2020-04-24,100435.44224115543,1.0467961223549707
2020-04-27,99570.79013303702,1.89868759043292
2020-04-28,98534.87580946164,2.9193137655474626
2020-04-29,98455.34374261693,2.997672088562544
2020-04-30,99066.55358692234,2.395482552817225
2020-05-06,99264.77187881315,2.200189590372218
2020-05-07,98795.08278578869,2.6629469551434974
2020-05-08,98815.25340179144,2.6430740195231643
2020-05-11,99634.52979156948,1.835888609464531
2020-05-12,99758.0083103906,1.7142324015087946
2020-05-13,99420.43217395301,2.046826548631979
2020-05-14,99393.18778842941,2.073668858229873
2020-05-15,99390.0973212127,2.0767137159588596
2020-05-18,98474.81867900955,2.978484565628794
2020-05-19,98178.5269044251,3.270403630487652
2020-05-20,97980.22153470092,3.4657823856608747
2020-05-21,98305.6343775458,3.1451720247773527
2020-05-22,97970.95706309116,3.4749101310818356
2020-05-25,98601.25039575275,2.8539187434019055
2020-05-26,99613.06587097401,1.8570357629325043
2020-05-27,99688.03865628809,1.7831694350216285
2020-05-28,99024.5900600241,2.4368267769270373
2020-05-29,99592.01014013134,1.877780750761246
2020-06-01,100685.94765308825,0.7999876994884362
2020-06-02,101070.73355885825,0.42088051049952263
2020-06-03,101332.95470352408,0.16252925709592017
2020-06-04,101298.8171006431,0.19616305311850069
2020-06-05,101247.82989189276,0.24639778649588004
2020-06-08,101035.10558100854,0.4559826863573805
2020-06-09,101232.34106515051,0.2616580272659791
2020-06-10,101241.4335015864,0.25269977810304667
2020-06-11,101098.21710921482,0.39380256569209887
2020-06-12,100952.89376421168,0.5369812112517887
2020-06-15,100507.43453603348,0.9758662984429799
2020-06-16,101277.92072609451,0.21675103645255647
2020-06-17,101101.13374162774,0.3909289772919137
2020-06-18,100941.30236339623,0.548401544776728
2020-06-19,100990.47805251199,0.49995159640878845
2020-06-22,100595.77943074353,0.8888252083385395
2020-06-23,100186.94223180914,1.2916287386080776
2020-06-24,100167.97771978746,1.3103133700752727
2020-06-29,99720.43654030198,1.7512496828853963
2020-06-30,100063.07986319377,1.4136631314565284
2020-07-01,100684.73431728268,0.8011831287379294
2020-07-02,100511.50670282863,0.971854229176275
2020-07-03,101665.26699641223,0.0
2020-07-06,103762.96927565828,0.0
2020-07-07,104316.45128678557,0.0
2020-07-08,104261.87128678558,0.052321565128722124
2020-07-09,105126.22887227325,0.0
2020-07-10,106038.84619869075,0.0
2020-07-13,106245.86593962056,0.0
2020-07-14,105831.23930696785,0.3902520149709572
2020-07-15,105393.59577329419,0.8021678385215636
2020-07-16,104280.41611524492,1.8499071064963624
2020-07-17,104604.89146240996,1.544506661692767
2020-07-20,106046.71275776095,0.1874455820923807
2020-07-21,105890.90334862056,0.3340954378420033
2020-07-22,105683.40714136441,0.5293935846650208
2020-07-23,105153.65446778189,1.0280037365965615
2020-07-24,105540.99757662424,0.663431331433541
2020-07-27,106036.66585644198,0.19690185714846797
2020-07-28,106461.8990355774,0.0
2020-07-29,106709.6926525484,0.0
2020-07-30,107664.86339680181,0.0
2020-07-31,107908.18786468577,0.0
2020-08-03,109826.88392773614,0.0
2020-08-04,110561.77882313328,0.0
2020-08-05,110996.21933718098,0.0
2020-08-06,111440.45048182327,0.0
2020-08-07,111853.7548272986,0.0
2020-08-10,112476.50465247827,0.0
2020-08-11,111601.49557661105,0.7779483178026873
2020-08-12,111336.80942549868,1.0132740437666825
2020-08-13,112361.84991411766,0.10193661219724097
2020-08-14,112783.06858648043,0.0
2020-08-17,113174.5632101497,0.0
2020-08-18,113301.44278536768,0.0
2020-08-19,112431.010599909,0.7682445731141971
2020-08-20,111869.02954527008,1.2642497790704068
2020-08-21,111969.72063163892,1.1753796959598297
2020-08-24,111781.8165873731,1.341224048552736
2020-08-25,111088.32159910462,1.9533036224926807
2020-08-26,110260.18942636694,2.6842141496484984
2020-08-27,109745.53891231926,3.1384453592391894
2020-08-28,109232.27942636693,3.591448845633105
2020-08-31,109169.7383399981,3.646647689382434
