date,value,drawdown
2020-03-04,100000.0,0.0
2020-03-05,102437.62783595591,0.0
2020-03-06,102137.45979722733,0.2930251754846029
2020-03-09,99322.96820430079,3.040542520803923
2020-03-10,99110.84014196874,3.2476227381160148
2020-03-11,98413.58882662453,3.9282821111159376
2020-03-12,97665.96471043874,4.658115602948684
2020-03-13,98595.3680150931,3.7508285793339704
2020-03-16,97400.51709158362,4.917246573142771
2020-03-17,98020.35795482039,4.312155576473675
2020-03-18,97014.15423046937,5.294415460470942
2020-03-19,97894.61226902119,4.434908990873863
2020-03-20,97638.67386649654,4.684757028095611
2020-03-23,95710.26025849565,6.567281690897311
2020-03-24,97029.42633476797,5.279506774452704
2020-03-25,97890.54037808094,4.438883986221051
2020-03-26,98262.09923537861,4.076166823448904
2020-03-27,98433.27813274716,3.909061335958825
2020-03-30,98314.8308454437,4.02469002612445
2020-03-31,98270.4501042726,4.068014673628172
2020-04-01,98927.41674040337,3.4266813569461125
2020-04-02,98904.12383670868,3.4494199776919867
2020-04-03,98787.80624058505,3.5629696552673966
2020-04-07,99736.04670882004,2.637293721270267
2020-04-08,100501.30190021565,1.8902487070874952
2020-04-09,101101.3212453857,1.304507551375728
2020-04-10,101393.43957815449,1.019340529315641
2020-04-13,101376.63658384702,1.0357436759546608
2020-04-14,101694.84311738981,0.7251092535602179
2020-04-15,101724.29737176125,0.6963558989641877
2020-04-16,102148.04373268044,0.2826930976371399
2020-04-17,102183.32804783486,0.2482484156391083
2020-04-20,102996.09650766074,0.0
2020-04-21,103872.94636935822,0.0
2020-04-22,103416.0691324725,0.43984237749560234
2020-04-23,103131.21625965822,0.7140743914806357
2020-04-24,102604.56360624393,1.2210905798359601
2020-04-27,103101.33487810107,0.7428416331942713
2020-04-28,101745.5575147518,2.0480682689424423
2020-04-29,101462.49585126621,2.3205758595898223
2020-04-30,102116.40226352126,1.6910506221619315
2020-05-06,102307.91255817786,1.5066808691603952
2020-05-07,103151.8319291943,0.6942273858293493
2020-05-08,102945.52689146117,0.8928402537069441
2020-05-11,103352.27080527936,0.5012619573025389
2020-05-12,102839.41093837429,0.994999628978289
2020-05-13,103093.6642239139,0.7502262838230235
2020-05-14,102654.0585456478,1.17344108000578
2020-05-15,102472.5016715433,1.3482285299149288
2020-05-18,101793.1372575278,2.002262556830638
2020-05-19,102140.31021815732,1.6680340856413967
2020-05-20,103610.2796940163,0.25287303819025153
2020-05-21,104907.90021815733,0.0
2020-05-22,104776.30179058039,0.12544186596365345
2020-05-25,103426.44516161116,1.4121482304625903
2020-05-26,102223.37503692167,2.5589351952075616
2020-05-27,102171.17233433315,2.6086957017851997
2020-05-28,101871.87207060945,2.8939938186108236
2020-05-29,101948.23600791447,2.8212024109606615
2020-06-01,102448.9820436239,2.343882748029541
2020-06-02,103313.85467446095,1.519471403375288
2020-06-03,103566.07277356437,1.27905280899018
2020-06-04,104323.34996365404,0.5572032738122814
2020-06-05,104429.50558347472,0.45601392620363623
2020-06-08,105137.55558347472,0.0
2020-06-09,105856.91457239169,0.0
2020-06-10,107135.89120986752,0.0
2020-06-11,109011.74952309653,0.0
2020-06-12,110504.72828437408,0.0
2020-06-15,109364.46463162696,1.0318686543554512
2020-06-16,110922.9531175196,0.0
2020-06-17,111073.8231175196,0.0
2020-06-18,111274.72311751959,0.0
2020-06-19,112086.70311751959,0.0
2020-06-22,112756.1231175196,0.0
2020-06-23,112867.12517672344,0.0
2020-06-24,112725.17517672342,0.12576735677262202
2020-06-29,112226.08730568396,0.5679580037462261
2020-06-30,111478.05239577405,1.2307151252186337
2020-07-01,112257.60817648825,0.5400305884293766
2020-07-02,113515.72469144473,0.0
2020-07-03,114887.0705012054,0.0
2020-07-06,116730.40438735098,0.0
2020-07-07,117199.98511221322,0.0
2020-07-08,117581.60511221323,0.0
2020-07-09,118336.60511221323,0.0
2020-07-10,118267.78511221323,0.058156138529365534
2020-07-13,118838.24511221323,0.0
2020-07-14,119382.04273921324,0.0
2020-07-15,118696.33273921323,0.574382867193788
2020-07-16,117633.16273921324,1.464943939534009
2020-07-17,118687.23273921324,0.5820054541349998
2020-07-20,119804.16273921324,0.0
2020-07-21,120133.04423040929,0.0
2020-07-22,120807.53476733458,0.0
2020-07-23,121165.9558411852,0.0
2020-07-24,119174.61208270807,1.6434845453513587
2020-07-27,118564.87208270804,2.146711706617048
2020-07-28,118878.09466857176,1.8882046171551592
2020-07-29,119656.69466857176,1.2456148776572769
2020-07-30,120347.64466857177,0.6753639394270248
2020-07-31,121030.66466857176,0.11165774385568915
2020-08-03,121710.46466857176,0.0
2020-08-04,121983.50696220022,0.0
2020-08-05,121519.26083186832,0.3805810653367741
2020-08-06,122528.22339821738,0.0
2020-08-07,123026.99370390258,0.0
2020-08-10,124115.00887688974,0.0
2020-08-11,124682.27622189041,0.0
2020-08-12,123295.4299292335,1.1123042782671115
2020-08-13,123006.4178584333,1.3441031189346233
2020-08-14,123754.89500568327,0.743795545211839
2020-08-17,124490.6526065886,0.1536895388088588
2020-08-18,125864.90279292449,0.0
2020-08-19,125304.96761993735,0.4448699840561258
2020-08-20,125252.77988060117,0.48633328174924007
2020-08-21,125474.93988060116,0.3098265709265327
2020-08-24,125134.59570524782,0.580230923372013
2020-08-25,124646.34362657546,0.9681484983576657
2020-08-26,123275.76975690738,2.0570730827773387
2020-08-27,123726.59523557975,1.6988910410257334
2020-08-28,123878.68910524785,1.5780520570888652
2020-08-31,123899.49136591166,1.5615246056689598
2020-09-01,124100.60945590737,1.4017357483044932
